uid,sentence,gold_standard,original_prediction,model_type,error_class,LLM_prediction,LLM_reasoning,error_category,error_type
1001,"No evidence of delirium during today's examination.",null,Delirium,Rule-based,FP,Negation,"The phrase 'No evidence of delirium' explicitly negates the presence of delirium. The rule-based model matched the keyword 'delirium' without detecting the negation prefix 'No evidence of', resulting in a false extraction.",Contextual_Error,Negation
1002,"Patient denies any recent falls or near-falls at home.",null,Falls,Rule-based,FP,Negation,"The verb 'denies' is a patient-reported negation marker preceding 'falls'. The rule-based model matched the keyword 'falls' without detecting the negation, leading to a false positive.",Contextual_Error,Negation
1003,"Screening for food insecurity was negative.",null,Food_Insecurity,Rule-based,FP,Medical_Evaluation,"The sentence documents the outcome of a food insecurity screening with a negative result ('was negative'). This is a medical evaluation context with an exclusion outcome — no food insecurity was found. The rule-based model triggered on 'food insecurity' without interpreting the screening result.",Contextual_Error,Medical_Evaluation
1004,"History of recurrent falls prior to this admission; last fall was approximately 3 months ago.",null,Falls,BERT,FP,History,"The sentence explicitly frames falls as historical events: 'prior to this admission' and '3 months ago'. There is no current fall during this encounter. The BERT model identified falls-related content but did not resolve the temporal context indicating this is a past history, not an active event.",Contextual_Error,History
1005,"Her mother has a long history of confusion and memory loss consistent with dementia.",null,Confusion,Rule-based,FP,Subject,"The subject of 'confusion' in this sentence is the patient's mother ('Her mother'), not the patient. The rule-based model extracted 'confusion' without performing subject-entity disambiguation, incorrectly attributing the symptom to the index patient.",Contextual_Error,Subject
1006,"If the patient attempts to ambulate independently without supervision, there is a high risk of a future fall.",null,Falls,Rule-based,FP,Hypothetical_Language,"The fall described here is a conditional hypothetical expressed by 'If the patient attempts...' and 'a high risk of a future fall.' No actual fall has occurred. The conditional clause and future modifier clearly signal a hypothetical scenario. The model extracted 'fall' as an actual event.",Contextual_Error,Hypothetical_Language
1007,"CAM assessment performed: patient is alert, oriented to person and place, and does not meet criteria for delirium.",null,Delirium,Rule-based,FP,Medical_Evaluation,"This sentence describes the outcome of a formal CAM delirium assessment with an explicitly negative result: 'does not meet criteria for delirium.' This is a medical evaluation context with an exclusion finding. The model triggered on the keyword 'delirium' without interpreting the assessment result.",Contextual_Error,Medical_Evaluation
1008,"Fall precautions were initiated per protocol; bed alarm activated and non-skid socks applied.",null,Falls,BERT,FP,Medical_Instruction,"'Fall precautions were initiated' describes a clinical safety intervention, not documentation of a fall event that occurred. The BERT model conflated fall-preventive clinical language with actual fall occurrence, producing a false positive.",Contextual_Error,Medical_Instruction
1009,"Patient and family were educated about delirium prevention strategies including hydration, early mobilization, and sleep hygiene.",null,Delirium,Rule-based,FP,Patient_Education,"The sentence documents patient and family education about delirium prevention, not an active diagnosis or occurrence of delirium. 'Delirium prevention strategies' is an educational context. The rule-based model matched 'delirium' without recognizing the patient education framing.",Contextual_Error,Patient_Education
1010,"Differential diagnosis includes delirium superimposed on dementia versus acute dementia exacerbation.",null,Delirium,BERT,FP,Differential_Diagnosis,"Delirium appears as one of several differential diagnoses under consideration ('differential diagnosis includes'), not as a confirmed clinical finding. The BERT model extracted 'delirium' without recognizing that 'differential diagnosis includes' signals diagnostic uncertainty rather than a confirmed condition.",Contextual_Error,Differential_Diagnosis
1011,"It is possible that the patient may have had an unwitnessed fall at home prior to presentation, though this has not been confirmed.",null,Falls,BERT,FP,Possible_and_Probable_Language,"Multiple uncertainty markers qualify the fall: 'It is possible that', 'may have had', 'unwitnessed', and 'has not been confirmed'. The fall is speculative and unconfirmed. The BERT model extracted falls without adequately weighting these certainty modifiers.",Contextual_Error,Possible_and_Probable_Language
1012,"Assessed for delirium by the geriatric consult team; patient was oriented x3 and no acute changes in cognition were noted.",null,Delirium,BERT,FP,Medical_Evaluation,"The sentence describes a formal assessment for delirium with a negative result: the patient was 'oriented x3' and had 'no acute changes in cognition.' The 'Assessed for delirium' framing combined with a normal cognitive finding represents a medical evaluation exclusion. The BERT model triggered on 'delirium' without interpreting the result.",Contextual_Error,Medical_Evaluation
1013,"At around 2 AM the patient was found wandering the hallway, speaking to people who were not there, and was unable to recognize nursing staff.",Hallucination,null,BERT,FN,Implied_Inference,"'Speaking to people who were not there' is a classic description of visual or auditory hallucination in clinical NLP, but the word 'hallucination' does not appear. The BERT model required the explicit keyword and failed to infer the clinical concept from this behavioral description. Combined with nighttime wandering, this presentation strongly implies delirium-related hallucination.",Linguistic_Error,Implied_Inference
1014,"The patient was befuddled and disoriented upon morning assessment, unable to state the date or current location.",Confusion,null,Rule-based,FN,Synonym,"'Befuddled' is a synonym for confused/confused mental status. The rule-based model's term dictionary did not include 'befuddled' as a match for the Confusion concept class. Similarly, 'disoriented' combined with inability to state date and location provides strong evidence of confusion, but was not captured by the keyword lexicon.",Linguistic_Error,Synonym
1015,"The patient stumbled while walking to the bathroom and went down to the floor, requiring nursing staff assistance to get up.",Falls,null,Rule-based,FN,Implied_Inference,"'Went down to the floor' describes a fall event through paraphrase. The sequence 'stumbled → went down to the floor → requiring assistance to get up' unambiguously describes a fall. The rule-based model matched only the literal keyword 'fall' or 'fell' and did not capture this paraphrastic description.",Linguistic_Error,Implied_Inference
1016,"Night nursing documented that patient was lethargick and difficult to arouse for vitals at 3 AM.",Lethargy,null,Rule-based,FN,Orthographic_Error,"'Lethargick' is a misspelling of 'lethargic'. The rule-based model's dictionary lookup failed because the token does not match the correctly spelled form 'lethargic' or root 'lethargy'. Orthographic errors in EHR free text are common and represent a significant vulnerability for rule-based lexicon systems.",Linguistic_Error,Orthographic_Error
1017,"Patient was found on the floor of his room by the night aide; circumstances of the event are unclear.",Falls,null,BERT,FN,Implied_Inference,"Being 'found on the floor' by staff is a strong clinical indicator of an unwitnessed fall, even though the word 'fall' does not appear. This phrasing pattern ('found on the floor') is a common circumlocution in nursing documentation for fall events. The BERT model did not learn to associate this phrase pattern with fall occurrence.",Linguistic_Error,Implied_Inference
1018,"Patient reports that she sometimes skips meals because she cannot afford groceries after paying rent, and her refrigerator has been mostly empty this month.",Food_Insecurity,null,BERT,FN,Implied_Inference,"Food insecurity is described through specific behavioral and economic indicators: skipping meals due to cost, inability to afford groceries, and an empty refrigerator. The term 'food insecurity' does not appear. The BERT model failed to synthesize these social and economic cues into the food insecurity concept, likely due to insufficient SDoH training data.",Linguistic_Error,Implied_Inference
1019,"She is no longer able to manage her activities of daily living independently and now requires hands-on assistance for bathing, dressing, and transfers.",Functional_Decline,null,Rule-based,FN,Synonym,"The sentence explicitly names 'activities of daily living' with a loss of independence ('no longer able to manage independently'), which is the definitional description of functional decline. The rule-based model's keyword list did not include 'activities of daily living' combined with independence modifiers as a trigger for the Functional_Decline concept.",Linguistic_Error,Synonym
1020,"Pateint was agitated and combattive during the morning nursing assessment, requiring two-person assist for safety.",Agitation,null,Rule-based,FN,Orthographic_Error,"'Combattive' is a misspelling of 'combative', which is a clinical synonym for agitation. The rule-based model's lexicon lookup failed on this misspelled token. Note also that 'Pateint' (for 'Patient') suggests this note was typed quickly, and EHR autocorrect may not have been applied — a common source of noise in real clinical text.",Linguistic_Error,Orthographic_Error
1021,"Patient has been increasingly confused and restless over the past 24 hours, with notable worsening in the evening hours.",Delirium,null,BERT,FN,Implied_Inference,"This sentence describes acute-onset confusion, psychomotor restlessness, and diurnal fluctuation with evening worsening (sundowning) — three core features of delirium per CAM criteria. The explicit term 'delirium' is absent. The BERT model extracted 'confused' and 'restless' as individual symptom terms but did not synthesize them into the composite delirium concept.",Linguistic_Error,Implied_Inference
1022,"Transportation remains a barrier to follow-up care; patient relies on a neighbor for rides but neighbor is not always available.",Transportation_Barrier,null,BERT,FN,Implied_Inference,"Transportation barrier is described through contextual inference: reliance on a single informal source ('relies on a neighbor') combined with stated unreliability ('not always available') constitutes a transportation barrier. The phrase 'transportation barrier' appears only in the framing clause and the model did not capture the clinical relevance of the unreliable transport described in the second clause.",Linguistic_Error,Implied_Inference
1023,"The patient tripped over the bedside commode while attempting to get up at night and struck her head on the floor.",Falls,null,Rule-based,FN,Morphological_Error,"'Tripped' (past tense of 'trip') is a fall-equivalent event not in the model's lexicon. The rule-based keyword list covered 'fall', 'fell', and 'fallen' but not 'tripped' or 'struck the floor'. Both verbs describe the mechanics of a fall event. This morphological gap caused the fall event to be missed.",Linguistic_Error,Morphological_Error
1024,"Cognitive assessment revealed mild impairment; patient was unable to recall 2 of 3 words at 5 minutes and could not draw an analog clock correctly.",Cognitive_Impairment,null,BERT,FN,Implied_Inference,"Cognitive impairment is indicated by quantitative performance results: failure on the 3-word recall (a standard MoCA/MMSE item) and clock-drawing test error. These are specific, well-known cognitive test findings that indicate memory and visuospatial impairment. The BERT model did not map these test performance descriptions to the Cognitive_Impairment concept, likely due to under-representation of quantitative test result descriptions in training.",Linguistic_Error,Implied_Inference
1025,"Patient was confused and agitated throughout the morning; nursing also noted inattention and fluctuating alertness during medication administration.",Delirium,null,BERT,FN,Implied_Inference,"This sentence contains all four CAM criteria for delirium: acute-onset confusion, agitation (disorganized thinking/behavior), inattention, and fluctuating mental status ('fluctuating alertness'). The composite diagnosis 'delirium' is not stated, but each CAM criterion is explicitly documented. The BERT model identified the individual symptoms but failed to synthesize them into a delirium classification.",Linguistic_Error,Implied_Inference
1026,"The patient states she lives alone in subsidized housing and relies on the food bank twice a month because her SNAP benefits run out mid-month.",Food_Insecurity,null,Rule-based,FN,Absence_of_Context,"The sentence explicitly documents food insecurity through reliance on a food bank and SNAP benefit insufficiency ('benefits run out mid-month'). The rule-based model likely had 'food insecurity' and 'hunger' as keywords but not 'food bank', 'SNAP', or 'benefits run out' as triggers. This reflects a gap in the rule set's coverage of specific social program indicators.",Contextual_Error,Absence_of_Context
